mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_learning_rate,param_min_child_weight,param_n_estimators,param_objective,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
92.67083255449931,0.25995186876658666,0.3988993167877197,0.005379345726923422,4,0.3,1,100,multi:softmax,1,0.8,"{'gamma': 4, 'learning_rate': 0.3, 'min_child_weight': 1, 'n_estimators': 100, 'objective': 'multi:softmax', 'reg_lambda': 1, 'subsample': 0.8}",0.8474074074074074,0.844040404040404,0.8401346801346802,0.8438608305274972,0.002971792442367716,23,0.8542424242424242,0.8544107744107744,0.8590572390572391,0.8559034792368125,0.002231103792370991
103.43881432215373,6.846773767838938,0.44018975893656415,0.028144382499071568,4,0.3,1,100,multi:softmax,1,0.9,"{'gamma': 4, 'learning_rate': 0.3, 'min_child_weight': 1, 'n_estimators': 100, 'objective': 'multi:softmax', 'reg_lambda': 1, 'subsample': 0.9}",0.8468013468013468,0.8432996632996633,0.8387878787878787,0.842962962962963,0.00328013645430282,24,0.8520538720538721,0.8553872053872054,0.8565656565656565,0.8546689113355779,0.0019106734639295826
104.48263502120972,6.399109272298978,0.45911796887715656,0.02770829187808814,4,0.3,1,100,multi:softmax,1,1,"{'gamma': 4, 'learning_rate': 0.3, 'min_child_weight': 1, 'n_estimators': 100, 'objective': 'multi:softmax', 'reg_lambda': 1, 'subsample': 1}",0.8417508417508418,0.8410774410774411,0.8348821548821549,0.8392368125701459,0.003091455946251293,31,0.845993265993266,0.8487878787878788,0.8489562289562289,0.8479124579124578,0.001358812879394985
141.67983738581339,0.09266136580658405,0.48052064577738446,0.009179662701218682,4,0.3,1,150,multi:softmax,1,0.8,"{'gamma': 4, 'learning_rate': 0.3, 'min_child_weight': 1, 'n_estimators': 150, 'objective': 'multi:softmax', 'reg_lambda': 1, 'subsample': 0.8}",0.8503703703703703,0.8466666666666667,0.8408754208754209,0.8459708193041525,0.003907400597315177,6,0.8591245791245792,0.8594612794612795,0.8626936026936027,0.8604264870931537,0.001608975168346346
156.70966958999634,7.733323100750549,0.6700650056203207,0.018714692349089887,4,0.3,1,150,multi:softmax,1,0.9,"{'gamma': 4, 'learning_rate': 0.3, 'min_child_weight': 1, 'n_estimators': 150, 'objective': 'multi:softmax', 'reg_lambda': 1, 'subsample': 0.9}",0.8482828282828283,0.8436363636363636,0.8401346801346802,0.8440179573512907,0.003337393182659816,21,0.8541750841750841,0.8591582491582491,0.8594949494949495,0.8576094276094276,0.00243233466693313
159.68108956019083,6.778296835839197,0.4775986671447754,0.021365902457059445,4,0.3,1,150,multi:softmax,1,1,"{'gamma': 4, 'learning_rate': 0.3, 'min_child_weight': 1, 'n_estimators': 150, 'objective': 'multi:softmax', 'reg_lambda': 1, 'subsample': 1}",0.8417508417508418,0.8410774410774411,0.8348821548821549,0.8392368125701459,0.003091455946251293,31,0.845993265993266,0.8487878787878788,0.8489562289562289,0.8479124579124578,0.001358812879394985
245.18932183583578,0.6342633854957667,0.7100253105163574,0.11241355855308154,4,0.3,1,250,multi:softmax,1,0.8,"{'gamma': 4, 'learning_rate': 0.3, 'min_child_weight': 1, 'n_estimators': 250, 'objective': 'multi:softmax', 'reg_lambda': 1, 'subsample': 0.8}",0.8528619528619529,0.846936026936027,0.841010101010101,0.846936026936027,0.004838498257349504,2,0.864040404040404,0.865016835016835,0.8665656565656565,0.8652076318742985,0.0010397203661520343
236.21208135286966,4.808364098688865,0.6497389475504557,0.1560353850014287,4,0.3,1,250,multi:softmax,1,0.9,"{'gamma': 4, 'learning_rate': 0.3, 'min_child_weight': 1, 'n_estimators': 250, 'objective': 'multi:softmax', 'reg_lambda': 1, 'subsample': 0.9}",0.8501683501683501,0.8463299663299664,0.8402020202020202,0.8455667789001122,0.004104369585312476,9,0.8583501683501683,0.8628956228956229,0.8625589225589225,0.8612682379349046,0.002067960243848316
363.4674350420634,22.90414601683554,0.6818323135375977,0.1077996738174881,4,0.3,1,250,multi:softmax,1,1,"{'gamma': 4, 'learning_rate': 0.3, 'min_child_weight': 1, 'n_estimators': 250, 'objective': 'multi:softmax', 'reg_lambda': 1, 'subsample': 1}",0.8417508417508418,0.8410774410774411,0.8348821548821549,0.8392368125701459,0.003091455946251293,31,0.845993265993266,0.8487878787878788,0.8489562289562289,0.8479124579124578,0.001358812879394985
151.28982869784036,34.422764844498126,0.770902951558431,0.22004250721335888,4,0.4,1,100,multi:softmax,1,0.8,"{'gamma': 4, 'learning_rate': 0.4, 'min_child_weight': 1, 'n_estimators': 100, 'objective': 'multi:softmax', 'reg_lambda': 1, 'subsample': 0.8}",0.8499663299663299,0.8432323232323232,0.8402693602693603,0.8444893378226711,0.00405732831522153,20,0.8587205387205388,0.8611447811447811,0.8614478114478115,0.8604377104377106,0.0012205096943024533
145.30353474617004,6.40963625787398,1.1820416450500488,0.3571603256848386,4,0.4,1,100,multi:softmax,1,0.9,"{'gamma': 4, 'learning_rate': 0.4, 'min_child_weight': 1, 'n_estimators': 100, 'objective': 'multi:softmax', 'reg_lambda': 1, 'subsample': 0.9}",0.8472727272727273,0.8447811447811447,0.8395959595959596,0.8438832772166105,0.0031976882392699872,22,0.8547811447811448,0.8585521885521885,0.8595622895622895,0.857631874298541,0.0020575179381424856
